#X Y timestamp framecnt Z flag
168.0 80.0 1654239321.06 7854 0.0 1
103.0 15.0 1654239328.53 17359 0.0 0
103.0 17.6 1654239331.82 21541 0.0 0
103.0 20.2 1654239335.13 25748 0.0 0
103.0 22.8 1654239338.42 29929 0.0 0
103.0 25.4 1654239341.72 34134 0.0 0
103.0 28.0 1654239345.01 38318 0.0 0
103.0 30.6 1654239348.32 42524 0.0 0
103.0 33.2 1654239351.61 46706 0.0 0
103.0 35.8 1654239354.9 50888 0.0 0
103.0 38.4 1654239358.19 55071 0.0 0
103.0 41.0 1654239361.48 59256 0.0 0
103.0 43.6 1654239364.77 63440 0.0 0
103.0 46.2 1654239368.08 67648 0.0 0
103.0 48.8 1654239371.37 71829 0.0 0
103.0 51.4 1654239374.66 76012 0.0 0
103.0 54.0 1654239377.95 80195 0.0 0
103.0 56.6 1654239381.24 84378 0.0 0
103.0 59.2 1654239384.53 88560 0.0 0
103.0 61.8 1654239387.82 92744 0.0 0
103.0 64.4 1654239391.11 96929 0.0 0
103.0 67.0 1654239394.4 101112 0.0 0
103.0 69.6 1654239397.69 105295 0.0 0
103.0 72.2 1654239400.97 109476 0.0 0
103.0 74.8 1654239404.26 113660 0.0 0
103.0 77.4 1654239407.57 117867 0.0 0
103.0 80.0 1654239410.86 122050 0.0 0
103.0 82.6 1654239414.17 126256 0.0 0
103.0 85.2 1654239417.46 130438 0.0 0
103.0 87.8 1654239420.75 134622 0.0 0
103.0 90.4 1654239424.04 138804 0.0 0
103.0 93.0 1654239427.33 142987 0.0 0
103.0 95.6 1654239430.62 147173 0.0 0
103.0 98.2 1654239433.91 151357 0.0 0
103.0 100.8 1654239437.2 155540 0.0 0
103.0 103.4 1654239440.49 159723 0.0 0
103.0 106.0 1654239443.8 163929 0.0 0
103.0 108.6 1654239447.09 168114 0.0 0
103.0 111.2 1654239450.38 172296 0.0 0
103.0 113.8 1654239453.68 176500 0.0 0
103.0 116.4 1654239456.97 180682 0.0 0
103.0 119.0 1654239460.26 184864 0.0 0
103.0 121.6 1654239463.55 189047 0.0 0
103.0 124.2 1654239466.84 193229 0.0 0
103.0 126.8 1654239470.13 197414 0.0 0
103.0 129.4 1654239473.42 201595 0.0 0
103.0 132.0 1654239476.71 205777 0.0 0
103.0 134.6 1654239480.0 209961 0.0 0
103.0 137.2 1654239483.29 214145 0.0 0
103.0 139.8 1654239486.58 218327 0.0 0
103.0 142.4 1654239489.87 222511 0.0 0
103.0 145.0 1654239493.16 226694 0.0 0
105.6 15.0 1654239504.97 241708 0.0 0
105.6 17.6 1654239508.27 245915 0.0 0
105.6 20.2 1654239511.56 250098 0.0 0
105.6 22.8 1654239514.85 254281 0.0 0
105.6 25.4 1654239518.14 258463 0.0 0
105.6 28.0 1654239521.45 262669 0.0 0
105.6 30.6 1654239524.74 266852 0.0 0
105.6 33.2 1654239528.03 271035 0.0 0
105.6 35.8 1654239531.32 275217 0.0 0
105.6 38.4 1654239534.62 279413 0.0 0
105.6 41.0 1654239537.91 283596 0.0 0
105.6 43.6 1654239541.2 287780 0.0 0
105.6 46.2 1654239544.49 291965 0.0 0
105.6 48.8 1654239547.78 296151 0.0 0
105.6 51.4 1654239551.07 300337 0.0 0
105.6 54.0 1654239554.36 304521 0.0 0
105.6 56.6 1654239557.65 308704 0.0 0
105.6 59.2 1654239560.94 312887 0.0 0
105.6 61.8 1654239564.23 317072 0.0 0
105.6 64.4 1654239567.52 321256 0.0 0
105.6 67.0 1654239570.82 325441 0.0 0
